Date,heads,precipitation,temperature,evaporation,rivers
1990-03-29,638.61,2.0122426,2.3486705,1.1805514079285708,
1990-03-30,638.66,0.0,5.141232,1.4093623456012578,
1990-03-31,638.7,0.0,7.2301455,1.610117911806312,
1990-04-01,638.71,0.0,9.31553,1.8390491153624755,
1990-04-02,638.71,0.0,11.362296,2.0954486372656644,
1990-04-03,638.71,7.4431715,8.143672,1.7180511542115535,
1990-04-04,638.7,0.011486255,3.805561,1.3134220724260603,
1990-04-05,638.67,0.019318532,4.0065436,1.3334432792330464,
1990-04-06,638.65,0.0,4.0333524,1.339098335355519,
1990-04-07,638.63,10.8136015,4.3443375,1.3688600774580468,
1990-04-08,638.62,2.2590675,2.427939,1.2174236975562398,
1990-04-09,638.63,0.48451754,1.3886932,1.1437421221545272,
1990-04-10,638.61,0.8213126,3.9874003,1.3488240246898404,
1990-04-11,638.6,7.6253157,3.4392903,1.3066563847670172,
1990-04-12,638.58,2.9622808,3.72116,1.3331835913613446,
1990-04-13,638.57,0.0,7.231924,1.6643915307109465,
1990-04-14,638.55,1.6957498,5.1318984,1.463250217520311,
1990-04-15,638.55,9.486829,3.2567883,1.3046077722361509,
1990-04-16,638.55,1.5110512,4.0777845,1.3766256962954186,
1990-04-17,638.56,8.647894,5.337176,1.4929459607917277,
1990-04-18,638.57,4.6893377,2.4564106,1.2499335613501676,
1990-04-19,638.57,0.16854243,3.3350194,1.3236230098232915,
1990-04-20,638.57,0.01864365,4.845749,1.458114418666649,
1990-04-21,638.55,0.015730325,7.1067734,1.6833571307885156,
1990-04-22,638.53,1.3897697,8.172952,1.803517052633972,
1990-04-23,638.5,5.2986393,5.6423697,1.5432176027931803,
1990-04-24,638.48,2.141749,7.267203,1.7120531444346054,
1990-04-25,638.45,2.1882517,7.8614526,1.7808382218657406,
1990-04-26,638.4,1.312054,7.8466496,1.7831605140089033,
1990-04-27,638.35,2.3216765,9.042107,1.9257377939775475,
1990-04-28,638.32,0.011137689,8.47595,1.8628487943755427,
1990-04-29,638.3,0.0,8.649872,1.887278312899856,
1990-04-30,638.29,0.0,11.055656,2.198183804163423,
1990-05-01,638.27,0.0,13.750884,2.6069796377726258,
1990-05-02,638.23,0.0,14.828403,2.794408678293332,
1990-05-03,638.2,0.0,13.9009075,2.642456055964954,
1990-05-04,638.15,0.0,13.922274,2.6513630909065022,
1990-05-05,638.13,0.0,15.153697,2.8692187424540454,
1990-05-06,638.11,3.7425413,14.336356,2.731714543129545,
1990-05-07,638.1,0.8165065,13.401377,2.581672886549733,
1990-05-08,638.08,5.2630906,13.443163,2.5933843144463777,
1990-05-09,638.08,18.805033,13.465609,2.601922562444854,
1990-05-10,638.1,14.473375,13.597612,2.628343284570425,
1990-05-11,638.12,12.374986,10.77806,2.207703187989296,
1990-05-12,638.14,0.10974798,11.622207,2.331473327849881,
1990-05-13,638.17,6.120949,12.847834,2.521508622804952,
1990-05-14,638.2,1.6598383,14.05089,2.7230967511554565,
1990-05-15,638.21,4.1710033,14.820142,2.862040585327705,
1990-05-16,638.21,2.4030101,16.398388,3.1639678267814784,
1990-05-17,638.21,0.0,16.612621,3.211802095572033,
1990-05-18,638.2,0.021126978,15.266461,2.957298754082083,
1990-05-19,638.16,0.007157121,14.577294,2.83699467238628,
1990-05-20,638.13,1.6413491,15.745041,3.0563868103046907,
1990-05-21,638.11,5.1122327,13.7445135,2.701118460961798,
1990-05-22,638.1,0.0,15.489457,3.016662902955532,
1990-05-23,638.1,0.055974875,16.728844,3.2641500496652456,
1990-05-24,638.27,50.27227,13.9034195,2.739447748712107,
1990-05-25,638.69,24.279892,9.944059,2.1417031542638543,
1990-05-26,638.96,0.0,10.267383,2.188184989115693,
1990-05-27,639.0,0.0,11.237757,2.327842454989665,
